"등록일","시도","시군구","업종","축종","영업상태","개소","규모","동수"
20180401,"경기도","경기도 수원시","가축사육업                    ","한우","정상",12,3772.5,24
20180401,"충청남도","충청남도 계룡시","가축사육업                    ","돼지","정상",2,1451.34,9
20180401,"전라북도","전라북도 고창군","가축사육업                    ","염소","정상",9,6140.95,12
20180401,"경상북도","경상북도 성주군","가축사육업                    ","오리","정상",6,10743,27
20180401,"충청남도","충청남도 서천군","가축사육업                    ","육우","정상",1,1000,1
20180401,"충청남도","충청남도 부여군","가축사육업                    ","산양","정상",9,3013.44,13
20180401,"전라북도","전라북도 남원시","가축사육업                    ","산란계","정상",11,26725,59
20180401,"경기도","경기도 안산시","가축사육업                    ","돼지","정상",2,939.46,3
20180401,"충청남도","충청남도 홍성군","부화업                        "," ","폐업",2,0,0
20180401,"전라북도","전라북도 정읍시","부화업                        "," ","정상",16,1322.3,5
20180401,"전라북도","전라북도 정읍시","부화업                        "," ","폐업",10,2868.3,14
20180401,"전라북도","전라북도 남원시","부화업                        "," ","폐업",4,0,0
20180401,"전라남도","전라남도 나주시","부화업                        "," ","휴업",1,0,0
20180401,"전라남도","전라남도 고흥군","부화업                        "," ","정상",1,0,0
20180401,"전라남도","전라남도 보성군","부화업                        "," ","정상",1,0,0
20180401,"전라남도","전라남도 장흥군","부화업                        "," ","정상",2,826,2
20180401,"전라남도","전라남도 영광군","부화업                        "," ","폐업",1,0,0
20180401,"경상북도","경상북도 구미시","부화업                        "," ","정상",1,0,0
20180401,"경상북도","경상북도 칠곡군","부화업                        "," ","정상",1,0,0
20180401,"경상남도","경상남도 밀양시","부화업                        "," ","정상",1,288,1
20180401,"경기도","경기도 양주시","부화업                        "," ","폐업",4,0,0
20180401,"충청남도","충청남도 당진시","부화업                        "," ","폐업",1,0,0
20180401,"충청북도","충청북도 청주시","부화업                        "," ","휴업",2,0,0
20180401,"광주광역시","광주광역시 서구","부화업                        "," ","폐업",3,0,0
20180401,"광주광역시","광주광역시 광산구","부화업                        "," ","폐업",1,0,0
20180401,"경기도","경기도 오산시","부화업                        "," ","폐업",1,0,0
20180401,"경기도","경기도 파주시","부화업                        "," ","폐업",1,0,0
20180401,"경기도","경기도 안성시","부화업                        "," ","폐업",4,0,0
20180401,"충청북도","충청북도 제천시","가축사육업                    ","한우","말소",6,1579.41,6
20180401,"경상북도","경상북도 김천시","가축사육업                    ","산양","폐업",11,2760.6,15
20180401,"전라북도","전라북도 정읍시","가축사육업                    ","육우","폐업",7,5907.85,14
20180401,"강원도","강원도 고성군","가축사육업                    ","육계","폐업",2,1353,4
20180401,"전라북도","전라북도 장수군","가축사육업                    ","돼지","말소",5,287,5
20180401,"경상남도","경상남도 양산시","가축사육업                    ","육우","말소",1,53.6,2
20180401,"경상남도","경상남도 합천군","가축사육업                    ","젖소","폐업",4,6191.92,11
20180401,"경상북도","경상북도 군위군","가축사육업                    ","산란계","정상",16,24229.55,47
20180401,"경기도","경기도 파주시","가축사육업                    ","산양","정상",5,1993.98,7
20180401,"경상북도","경상북도 경주시","가축사육업                    ","젖소","휴업",4,3948,18
20180401,"대구광역시","대구광역시 수성구","가축사육업                    ","젖소","폐업",1,187,3
20180401,"충청남도","충청남도 태안군","가축사육업                    ","한우","휴업",7,14328.6,21
20180401,"전라남도","전라남도 나주시","가축사육업                    ","육우","폐업",2,1849.2,5
20180401,"경상북도","경상북도 성주군","가축사육업                    ","한우","휴업",3,1253.84,5
20180401,"전라남도","전라남도 무안군","가축사육업                    ","육우","정상",11,7727.04,20
20180401,"전라남도","전라남도 나주시","가축사육업                    ","육우","말소",1,500,1
20180401,"경기도","경기도 수원시","가축사육업                    ","육우","정상",1,318.08,2
20180401,"강원도","강원도 횡성군","가축사육업                    ","산양","정상",7,1416,10
20180401,"충청남도","충청남도 태안군","가축사육업                    ","사슴","정상",6,1648.5,6
20180401,"경상남도","경상남도 거제시","가축사육업                    ","산란계","정상",4,3383.19,10
20180401,"경상남도","경상남도 고성군","가축사육업                    ","산양","정상",4,3363.23,5
20180401,"인천광역시","인천광역시 서구","가축사육업                    ","육우","정상",3,1386.23,8
